[Bags 1 Lright]
80004040
04100000 AC3B90C0 00001D57
04100000 AC3B90C8 00001D58
04100000 AC3B90D0 000027C8
04100000 AC3B90D8 00002EAA
04100000 AC3B90E0 00002621
04100000 AC3B90E8 00002F63
04100000 AC3B90F0 0000309F
04100000 AC3B90F8 00001AB6
04100000 AC3B9100 00001AB7
04100000 AC3B9108 00002EA8
04100000 AC3B9110 00002EA9
04100000 AC3B9118 000009F6
04100000 AC3B9120 00002EE0
04100000 AC3B9128 00002EE1
04100000 AC3B9130 00002EE2
04100000 AC3B9138 00001D2E
04100000 AC3B9140 00002ECA
04100000 AC3B9148 00002ECB
04100000 AC3B9150 00001D2F
04100000 AC3B9158 00002EBC
04100000 AC3B9008 00001D34
04100000 AC3B9010 00002EE9
04100000 AC3B9018 00001D35
04100000 AC3B9020 00001D36
04100000 AC3B9028 00001D37
04100000 AC3B9030 00001D38
04100000 AC3B9038 00002EE3
04100000 AC3B9040 00001D39
04100000 AC3B9048 00002EEA
04100000 AC3B9050 00001D3A
04100000 AC3B9058 00002EE4
04100000 AC3B9060 00001D3B
04100000 AC3B9068 00002ECC
04100000 AC3B9070 00002ECD
04100000 AC3B9078 00002ECE
04100000 AC3B9080 00001D3C
04100000 AC3B9088 00002EE5
04100000 AC3B9090 00001D3D
04100000 AC3B9098 00002EEB
04100000 AC3B90A0 00001D3E
20000000
