[Restore 1-3]
040E0000 01479174 1E200920
040E0000 015F067C 2A0103F4
040E0000 0155B77C 51000508
040E0000 0138F54C 51000508
040E0000 013CEFB0 51000508
040E0000 0147DF10 51000508
040E0000 01484718 51000508
040E0000 01487E68 51000508
040E0000 01649E10 51000508
040E0000 0164EF3C 51000508
040E0000 01652120 51000508
040E0000 016283B8 51000508
040E0000 0162E1F0 51000508
040E0000 01631620 51000508
040E0000 01C21928 51000508
040E0000 01C20174 51000508
040E0000 01C1FFB0 51000508
040E0000 01C25040 51000508
040E0000 01C25358 51000508
040E0000 0153BBE4 51000508
040E0000 014831D8 51000508
040E0000 0147E114 51000508
040E0000 0141A900 51000508
