[Other Items1 x999]
04100000 45067D90 0000802D
04100000 45067D94 0000802E
04100000 45067D98 0000802F
04100000 45067D9C 00008030
04100000 45067DA0 00008031
04100000 45067DA4 00008032
04100000 45067DA8 00008033
04100000 45067DAC 00008034
04100000 45067DB0 00008035
04100000 45067DB4 0000804C
04100000 45067DB8 0000804D
04100000 45067DBC 0000804F
04100000 45067DC0 00008050
04100000 45067DC4 00008051
04100000 45067DC8 00008052
04100000 45067DCC 00008053
04100000 45067DD0 00008054
04100000 45067DD4 00008055
04100000 45067DD8 0000806B
04100000 45067DDC 0000806C
04100000 45067DE0 0000806D
04100000 45067DE4 0000806E
04100000 45067DE8 00008070
04100000 45067DEC 00008074
04100000 45067DF0 00008075
04100000 45067DF4 00008076
04100000 45067DF8 00008077
04100000 45067DFC 00008087
04100000 45067E00 00008088
04100000 45067E04 000080D5
04100000 45067E08 000080D6
04100000 45067E0C 000080D7
04100000 45067E10 000080D9
04100000 45067E14 000080DA
04100000 45067E18 000080DB
04100000 45067E1C 000080DC
04100000 45067E20 000080DD
04100000 45067E24 000080DE
04100000 45067E28 000080DF
04100000 45067E2C 000080E0
04100000 45067E30 000080E1
04100000 45067E34 000080E4
04100000 45067E38 000080E5
04100000 45067E3C 000080E6
04100000 45067E40 000080E7
04100000 45067E44 000080E8
04100000 45067E48 000080E9
04100000 45067E4C 000080EA
04100000 45067E50 000080EB
04100000 45067E54 000080EC
04100000 45067E58 000080ED
04100000 45067E5C 000080EE
04100000 45067E60 000080EF
04100000 45067E64 000080F0
04100000 45067E68 000080F1
04100000 45067E6C 000080F2
04100000 45067E70 000080F3
04100000 45067E74 000080F4
04100000 45067E78 000080F5
04100000 45067E7C 000080F6
04100000 45067E80 000080F7
04100000 45067E84 000080F8
04100000 45067E88 000080F9
04100000 45067E8C 000080FA
04100000 45067E90 000080FB
04100000 45067E94 000080FC
04100000 45067E98 000080FD
04100000 45067E9C 000080FE
04100000 45067EA0 000080FF
04100000 45067EA4 00008101
04100000 45067EA8 00008102
04100000 45067EAC 00008103
04100000 45067EB0 00008109
04100000 45067EB4 0000810A
04100000 45067EB8 0000810B
04100000 45067EBC 0000810C
04100000 45067EC0 0000810D
04100000 45067EC4 0000810E
04100000 45067EC8 0000810F
04100000 45067ECC 00008110
04100000 45067ED0 00008111
04100000 45067ED4 00008112
04100000 45067ED8 00008113
04100000 45067EDC 00008114
04100000 45067EE0 00008115
04100000 45067EE4 00008116
04100000 45067EE8 00008117
04100000 45067EEC 00008118
04100000 45067EF0 00008119
04100000 45067EF4 0000811A
04100000 45067EF8 0000811B
04100000 45067EFC 0000811C
04100000 45067F00 0000811D
04100000 45067F04 0000811E
04100000 45067F08 0000811F
04100000 45067F0C 00008120
04100000 45067F10 00008121
04100000 45067F14 00008122
04100000 45067F18 00008123
04100000 45067F1C 00008124
04100000 45067F20 00008125
04100000 45067F24 00008126
04100000 45067F28 00008127
04100000 45067F2C 00008128
04100000 45067F30 00008129
04100000 45067F34 0000812A
04100000 45067F38 0000812B
04100000 45067F3C 0000812C
04100000 45067F40 0000812D
04100000 45067F44 0000812E
04100000 45067F48 0000812F
04100000 45067F4C 00008130
04100000 45067F50 00008131
04100000 45067F54 00008132
04100000 45067F58 00008133
04100000 45067F5C 00008134
04100000 45067F60 00008135
04100000 45067F64 00008136
04100000 45067F68 00008137
04100000 45067F6C 00008138
04100000 45067F70 00008139
04100000 45067F74 0000813A
04100000 45067F78 0000813B
04100000 45067F7C 0000813C
04100000 45067F80 0000813D
04100000 45067F84 0000813E
04100000 45067F88 0000813F
04100000 45067F8C 00008140
04100000 45067F90 00008141
04100000 45067F94 00008142
04100000 45067F98 00008143
04100000 45067F9C 00008144
04100000 45067FA0 00008145
04100000 45067FA4 00008146
04100000 45067FA8 000081E5
04100000 45067FAC 000081E6
04100000 45067FB0 000081E7
04100000 45067FB4 000081E8
04100000 45067FB8 000081E9
04100000 45067FBC 000081EA
04100000 45067FC0 000081EB
04100000 45067FC4 00008219
04100000 45067FC8 0000821A
04100000 45067FCC 0000821B
04100000 45067FD0 0000821C
04100000 45067FD4 0000821D
04100000 45067FD8 0000821E
04100000 45067FDC 0000821F
04100000 45067FE0 00008220
04100000 45067FE4 00008221
04100000 45067FE8 00008222
04100000 45067FEC 00008223
04100000 45067FF0 00008234
04100000 45067FF4 00008235
04100000 45067FF8 00008236
04100000 45067FFC 00008237
04100000 45068000 00008238
04100000 45068004 00008239
04100000 45068008 0000823A
04100000 4506800C 0000827F
04100000 45068010 00008280
04100000 45068014 00008284
04100000 45068018 00008285
04100000 4506801C 00008286
04100000 45068020 00008287
04100000 45068024 00008288
04100000 45068028 00008289
04100000 4506802C 0000828A
04100000 45068030 0000834E
04100000 45068034 00008351
04100000 45068038 0000836F
04100000 4506803C 00008370
04100000 45068040 00008371
04100000 45068044 00008372
04100000 45068048 00008373
04100000 4506804C 00008374
04100000 45068050 00008388
04100000 45068054 00008389
04100000 45068058 0000838A
04100000 4506805C 0000838B
04100000 45068060 0000838C
04100000 45068064 0000838D
04100000 45068068 0000838E
04100000 4506806C 0000838F
04100000 45068070 00008390
04100000 45068074 00008391
04100000 45068078 00008392
04100000 4506807C 00008393
04100000 45068080 00008394
04100000 45068084 00008395
04100000 45068088 00008396
04100000 4506808C 00008397
04100000 45068090 00008398
04100000 45068094 0000844F
04100000 45068098 00008450
04100000 4506809C 00008455
04100000 450680A0 00008456
04100000 450680A4 00008457
04100000 450680A8 00008458
04100000 450680AC 00008459
04100000 450680B0 0000845A
04100000 450680B4 0000845B
04100000 450680B8 0000845C
04100000 450680BC 0000845D
04100000 450680C0 0000845E
04100000 450680C4 0000845F
04100000 450680C8 00008460
04100000 450680CC 00008461
04100000 450680D0 00008462
04100000 450680D4 00008463
04100000 450680D8 00008464
04100000 450680DC 00008465
04100000 450680E0 00008466
04100000 450680E4 00008467
04100000 450680E8 00008468
04100000 450680EC 00008469
04100000 450680F0 000084CF
04100000 450680F4 000084D0
04100000 450680F8 000084D1
04100000 450680FC 000084D2
04100000 45068100 000084D3
04100000 45068104 000084D4
04100000 45068108 000084D5
04100000 4506810C 000084D6
04100000 45068110 000084D7
04100000 45068114 000084D8
04100000 45068118 000084D9
04100000 4506811C 000084DA
04100000 45068120 000084DB
04100000 45068124 000084DC
04100000 45068128 000084DD
04100000 4506812C 000084DE
04100000 45068130 000084DF
04100000 45068134 000084E0
04100000 45068138 000084E1
04100000 4506813C 000084E2
04100000 45068140 000084E3
04100000 45068144 000084E4
04100000 45068148 000084E5
04100000 4506814C 000084E6
