[All Key items]
04100000 45068C90 0000804E
04100000 45068C94 00008274
04100000 45068C98 00008275
04100000 45068C9C 00008277
04100000 45068CA0 00008278
04100000 45068CA4 0000827E
04100000 45068CA8 000082BF
04100000 45068CAC 0000834F
04100000 45068CB0 000083AF
04100000 45068CB4 000083B0
04100000 45068CB8 000083B1
04100000 45068CBC 000084B2
04100000 45068CC0 00008432
04100000 45068CC4 00008433
04100000 45068CC8 00008434
04100000 45068CCC 00008435
04100000 45068CD0 00008438
04100000 45068CD4 00008439
04100000 45068CD8 0000844C
04100000 45068CDC 000084E7
04100000 45068CE0 000084F2
04100000 45068CE4 000084F3
04100000 45068CE8 000084F5
04100000 45068CEC 000084F6
04100000 45068CF0 000084F7
04100000 45068CF4 000084FE
04100000 45068CF8 0000862F
04100000 45068CFC 00008630
04100000 45068D00 00008631
04100000 45068D04 00008632
04100000 45068D08 00008633
04100000 45068D0C 00008635
04100000 45068D10 0000863D
